id,name,liveNameId
1,東京,1st-live-ready-steady-go
2,愛知,live-tour-2018-blue-compass
3,石川,live-tour-2018-blue-compass
4,兵庫,live-tour-2018-blue-compass
5,千葉,live-tour-2018-blue-compass
6,大阪,live-tour-2019-catch-the-rainbow
7,愛知,live-tour-2019-catch-the-rainbow
8,東京1日目,live-tour-2019-catch-the-rainbow
9,東京2日目,live-tour-2019-catch-the-rainbow
10,神奈川,5th-anniversary-live-starry-wishes
11,大阪,live-tour-2021-hello-horizon
12,愛知,live-tour-2021-hello-horizon
13,福岡,live-tour-2021-hello-horizon
14,宮城,live-tour-2021-hello-horizon
15,神奈川,live-tour-2021-hello-horizon
16,愛知,live-tour-2022-glow
17,宮城,live-tour-2022-glow
18,福岡,live-tour-2022-glow
19,神奈川,live-tour-2022-glow
20,兵庫,live-tour-2022-glow
21,兵庫,live-tour-2023-scrap-art
22,宮城,live-tour-2023-scrap-art
23,愛知,live-tour-2023-scrap-art
24,福岡,live-tour-2023-scrap-art
25,神奈川1日目,live-tour-2023-scrap-art
26,神奈川2日目,live-tour-2023-scrap-art
27,東京昼公演,inorimachi-town-meeting-2018
28,東京夜公演,inorimachi-town-meeting-2018
29,兵庫昼公演,inorimachi-town-meeting-2019
30,兵庫夜公演,inorimachi-town-meeting-2019
31,東京昼公演,inorimachi-town-meeting-2019
32,東京夜公演,inorimachi-town-meeting-2019
33,横浜昼公演,inorimachi-town-meeting-2021-second-helping
34,横浜夜公演,inorimachi-town-meeting-2021-second-helping
35,東京昼公演,inorimachi-town-meeting-2023
36,東京夜公演,inorimachi-town-meeting-2023
37,埼玉昼公演,inorimachi-town-meeting-2024-acoustic-live-wonder-caravan!-
38,埼玉夜公演,inorimachi-town-meeting-2024-acoustic-live-wonder-caravan!-
39,滋賀,inorimachi-town-meeting-2024-acoustic-live-wonder-caravan!-
40,愛知,inorimachi-town-meeting-2024-acoustic-live-wonder-caravan!-
41,兵庫,live-tour-2024-heart-bookmark
42,広島,live-tour-2024-heart-bookmark
43,愛知,live-tour-2024-heart-bookmark
44,福岡,live-tour-2024-heart-bookmark
45,北海道,live-tour-2024-heart-bookmark
46,千葉1日目,live-tour-2024-heart-bookmark
47,千葉2日目,live-tour-2024-heart-bookmark
